ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),ID,A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2)
76383, [t|h],1039488.0,550400.0,9984.0,1599872.0,560384.0,1049472.0,76383, [i|n],219904.0,707968.0,480128.0,1408000.0,1188096.0,700032.0
76383, [t|h],1094016.0,1562496.0,781312.0,3437824.0,2343808.0,1875328.0,76383, [i|n],560128.0,550016.0,1390080.0,2500224.0,1940096.0,1950208.0
76383, [t|h],2010112.0,840064.0,2340096.0,5190272.0,3180160.0,4350208.0,76383, [i|n],870016.0,809984.0,1190144.0,2870144.0,2000128.0,2060160.0
76383, [t|h],241152.0,435456.0,1569536.0,2246144.0,2004992.0,1810688.0,76383, [i|n],1438976.0,568064.0,3597184.0,5604224.0,4165248.0,5036160.0
76383, [t|h],1094272.0,1147904.0,624768.0,2866944.0,1772672.0,1719040.0,76383, [i|n],550016.0,390016.0,1120128.0,2060160.0,1510144.0,1670144.0
76383, [t|h],800000.0,963840.0,880768.0,2644608.0,1844608.0,1680768.0,76383, [i|n],578048.0,602112.0,819968.0,2000128.0,1422080.0,1398016.0
76383, [t|h],643712.0,807424.0,395776.0,1846912.0,1203200.0,1039488.0,76383, [i|n],780032.0,729984.0,30080.0,1540096.0,760064.0,810112.0
76383, [t|h],1040640.0,700672.0,10112.0,1751424.0,710784.0,1050752.0,76383, [i|n],320000.0,940032.0,760064.0,2020096.0,1700096.0,1080064.0
76383, [t|h],1120768.0,560384.0,400256.0,2081408.0,960640.0,1521024.0,76383, [i|n],936064.0,310016.0,1302016.0,2548096.0,1612032.0,2238080.0
76383, [t|h],1521024.0,1120896.0,720512.0,3362432.0,1841408.0,2241536.0,76383, [i|n],852096.0,914048.0,29952.0,1796096.0,944000.0,882048.0
76383, [t|h],777984.0,1134080.0,956032.0,2868096.0,2090112.0,1734016.0,76383, [i|n],352000.0,568064.0,1184000.0,2104064.0,1752064.0,1536000.0
76383, [t|h],848000.0,440064.0,2940160.0,4228224.0,3380224.0,3788160.0,76383, [i|n],360064.0,320000.0,1270016.0,1950080.0,1590016.0,1630080.0
76383, [t|h],1248896.0,1149440.0,168320.0,2566656.0,1317760.0,1417216.0,76383, [i|n],480000.0,770048.0,720000.0,1970048.0,1490048.0,1200000.0
76383, [t|h],1678464.0,1106048.0,982400.0,3766912.0,2088448.0,2660864.0,76383, [i|n],156032.0,760064.0,595968.0,1512064.0,1356032.0,752000.0
76383, [t|h],39936.0,430080.0,1270016.0,1740032.0,1700096.0,1309952.0,76383, [i|n],1200896.0,1120768.0,240128.0,2561792.0,1360896.0,1441024.0
76383, [t|h],1121152.0,947456.0,10112.0,2078720.0,957568.0,1131264.0,76383, [i|n],556032.0,631936.0,336000.0,1523968.0,967936.0,892032.0
76383, [t|h],1356416.0,882432.0,879872.0,3118720.0,1762304.0,2236288.0,76383, [i|n],340096.0,1260160.0,1680000.0,3280256.0,2940160.0,2020096.0
76383, [t|h],312064.0,156032.0,624000.0,1092096.0,780032.0,936064.0,76383, [i|n],624000.0,936064.0,311936.0,1872000.0,1248000.0,935936.0
76383, [t|h],1287808.0,939904.0,9984.0,2237696.0,949888.0,1297792.0,76383, [i|n],600064.0,209920.0,1060096.0,1870080.0,1270016.0,1660160.0
76383, [t|h],1093248.0,990720.0,313088.0,2397056.0,1303808.0,1406336.0,76383, [i|n],540032.0,220032.0,979968.0,1740032.0,1200000.0,1520000.0
76383, [t|h],220032.0,330112.0,870016.0,1420160.0,1200128.0,1090048.0,76383, [i|n],20482688.0,9984.0,9984.0,20502656.0,19968.0,20492672.0
76383, [t|h],30080.0,430080.0,819968.0,1280128.0,1250048.0,850048.0,76383, [i|n],240384.0,960768.0,1600896.0,2802048.0,2561664.0,1841280.0
76383, [t|h],710016.0,700032.0,2190208.0,3600256.0,2890240.0,2900224.0,76383, [i|n],430080.0,540032.0,960000.0,1930112.0,1500032.0,1390080.0
76383, [t|h],1831552.0,1198720.0,2963584.0,5993856.0,4162304.0,4795136.0,76383, [i|n],1441024.0,1360896.0,1280896.0,4082816.0,2641792.0,2721920.0
76383, [t|h],1326592.0,1186944.0,3200.0,2516736.0,1190144.0,1329792.0,76383, [i|n],50048.0,1020032.0,739968.0,1810048.0,1760000.0,790016.0
76383, [t|h],819968.0,860032.0,30080.0,1710080.0,890112.0,850048.0,76383, [i|n],1280896.0,1441024.0,400384.0,3122304.0,1841408.0,1681280.0
76383, [t|h],561024.0,1120256.0,1841280.0,3522560.0,2961536.0,2402304.0,76383, [i|n],430080.0,870016.0,510080.0,1810176.0,1380096.0,940160.0
76383, [t|h],312064.0,360064.0,625920.0,1298048.0,985984.0,937984.0,76383, [i|n],780032.0,220032.0,768000.0,1768064.0,988032.0,1548032.0
76383, [t|h],726016.0,888064.0,487936.0,2102016.0,1376000.0,1213952.0,76383, [i|n],801024.0,800512.0,1200384.0,2801920.0,2000896.0,2001408.0
76383, [t|h],886656.0,1125376.0,235136.0,2247168.0,1360512.0,1121792.0,76383, [i|n],1681152.0,1280896.0,3682560.0,6644608.0,4963456.0,5363712.0
76383, [t|h],798208.0,961152.0,320384.0,2079744.0,1281536.0,1118592.0,76383, [i|n],540032.0,620032.0,990080.0,2150144.0,1610112.0,1530112.0
76383, [t|h],1093760.0,1093760.0,468736.0,2656256.0,1562496.0,1562496.0,76383, [i|n],156032.0,550016.0,812032.0,1518080.0,1362048.0,968064.0
76383, [t|h],30080.0,320000.0,830080.0,1180160.0,1150080.0,860160.0,76383, [i|n],450048.0,570112.0,589952.0,1610112.0,1160064.0,1040000.0
76383, [t|h],1041920.0,1254528.0,1250048.0,3546496.0,2504576.0,2291968.0,76383, [i|n],570368.0,640384.0,1030784.0,2241536.0,1671168.0,1601152.0
76383, [t|h],1280640.0,1350912.0,10112.0,2641664.0,1361024.0,1290752.0,76383, [i|n],560384.0,720512.0,1190784.0,2471680.0,1911296.0,1751168.0
76383, [t|h],1525376.0,1190400.0,10368.0,2726144.0,1200768.0,1535744.0,76383, [i|n],312064.0,780032.0,467968.0,1560064.0,1248000.0,780032.0
76383, [t|h],955904.0,1271040.0,405888.0,2632832.0,1676928.0,1361792.0,76383, [i|n],180096.0,440064.0,1289984.0,1910144.0,1730048.0,1470080.0
76383, [t|h],800000.0,965120.0,321408.0,2086528.0,1286528.0,1121408.0,76383, [i|n],560384.0,1041280.0,800512.0,2402176.0,1841792.0,1360896.0
76383, [t|h],729984.0,1160064.0,451968.0,2342016.0,1612032.0,1181952.0,76383, [i|n],870016.0,630016.0,240000.0,1740032.0,870016.0,1110016.0
76383, [t|h],624640.0,1104896.0,1317632.0,3047168.0,2422528.0,1942272.0,76383, [i|n],1201408.0,1440640.0,560384.0,3202432.0,2001024.0,1761792.0
76383, [t|h],156032.0,468096.0,992000.0,1616128.0,1460096.0,1148032.0,76383, [i|n],910080.0,540032.0,1620096.0,3070208.0,2160128.0,2530176.0
76383, [t|h],406016.0,320128.0,640000.0,1366144.0,960128.0,1046016.0,76383, [i|n],400384.0,960896.0,1120896.0,2482176.0,2081792.0,1521280.0
76383, [t|h],99968.0,419968.0,590080.0,1110016.0,1010048.0,690048.0,76383, [i|n],160128.0,400768.0,1681152.0,2242048.0,2081920.0,1841280.0
76383, [t|h],240000.0,1270144.0,29952.0,1540096.0,1300096.0,269952.0,76383, [i|n],690048.0,750080.0,199936.0,1640064.0,950016.0,889984.0
76383, [t|h],156032.0,400000.0,633984.0,1190016.0,1033984.0,790016.0,76383, [i|n],320000.0,220032.0,1180032.0,1720064.0,1400064.0,1500032.0
76383, [t|h],1070848.0,604160.0,3085824.0,4760832.0,3689984.0,4156672.0,76383, [i|n],310144.0,240128.0,1601280.0,2151552.0,1841408.0,1911424.0
76383, [t|h],1100032.0,994048.0,365952.0,2460032.0,1360000.0,1465984.0,76383, [i|n],640256.0,1040512.0,1201152.0,2881920.0,2241664.0,1841408.0
76383, [t|h],941952.0,312576.0,2670208.0,3924736.0,2982784.0,3612160.0,76383, [i|n],499968.0,220032.0,730112.0,1450112.0,950144.0,1230080.0
76383, [t|h],1283968.0,800640.0,320384.0,2404992.0,1121024.0,1604352.0,76383, [i|n],750080.0,650112.0,640000.0,2040192.0,1290112.0,1390080.0
76383, [t|h],806016.0,795520.0,957952.0,2559488.0,1753472.0,1763968.0,76383, [i|n],550272.0,640256.0,2081664.0,3272192.0,2721920.0,2631936.0
76383, [t|h],800128.0,800000.0,800000.0,2400128.0,1600000.0,1600128.0,76383, [i|n],960128.0,550528.0,30881792.0,32392448.0,31432320.0,31841920.0
76383, [t|h],39936.0,439936.0,720128.0,1200000.0,1160064.0,760064.0,76383, [i|n],1750016.0,311936.0,8462080.0,10524032.0,8774016.0,10212096.0
76383, [t|h],961280.0,643200.0,239232.0,1843712.0,882432.0,1200512.0,76383, [i|n],640384.0,560640.0,1601152.0,2802176.0,2161792.0,2241536.0
76383, [t|h],1841280.0,1360896.0,3442304.0,6644480.0,4803200.0,5283584.0,76383, [i|n],220032.0,649984.0,1280128.0,2150144.0,1930112.0,1500160.0
76383, [t|h],70016.0,295936.0,748032.0,1113984.0,1043968.0,818048.0,76383, [i|n],680064.0,540032.0,750080.0,1970176.0,1290112.0,1430144.0
76383, [t|h],721024.0,721024.0,399872.0,1841920.0,1120896.0,1120896.0,76383, [i|n],550016.0,409984.0,1090048.0,2050048.0,1500032.0,1640064.0
76383, [t|h],889472.0,1704448.0,468736.0,3062656.0,2173184.0,1358208.0,76383, [i|n],1270912.0,1361024.0,960640.0,3592576.0,2321664.0,2231552.0
76383, [t|h],720256.0,1038976.0,957952.0,2717184.0,1996928.0,1678208.0,76383, [i|n],530048.0,640000.0,329984.0,1500032.0,969984.0,860032.0
