ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2),A/B3,Dwell A3,Dwell B3,UD(AB3),DU(AB3),UU(AB3),DD(AB3)
76383, [a|c],1880064.0,1310080.0,189952.0,3380096.0,1500032.0,2070016.0, [e|a],140032.0,270080.0,2730112.0,3140224.0,3000192.0,2870144.0, [h|e],880640.0,960768.0,640384.0,2481792.0,1601152.0,1521024.0
76383, [a|c],489984.0,1644032.0,1235968.0,3369984.0,2880000.0,1725952.0, [e|a],541952.0,697984.0,752128.0,1992064.0,1450112.0,1294080.0, [h|e],880896.0,959616.0,243072.0,2083584.0,1202688.0,1123968.0
76383, [a|c],1203072.0,1762432.0,8314368.0,11279872.0,10076800.0,9517440.0, [e|a],791936.0,370048.0,530048.0,1692032.0,900096.0,1321984.0, [h|e],1125376.0,1120768.0,315776.0,2561920.0,1436544.0,1441152.0
76383, [a|c],1406848.0,625152.0,1874432.0,3906432.0,2499584.0,3281280.0, [e|a],329984.0,402048.0,756096.0,1488128.0,1158144.0,1086080.0, [h|e],876288.0,1121792.0,166272.0,2164352.0,1288064.0,1042560.0
76383, [a|c],470016.0,1220096.0,1690112.0,3380224.0,2910208.0,2160128.0, [e|a],329984.0,550016.0,640128.0,1520128.0,1190144.0,970112.0, [h|e],879616.0,716416.0,318976.0,1915008.0,1035392.0,1198592.0
76383, [a|c],1128704.0,1040000.0,2343936.0,4512640.0,3383936.0,3472640.0, [e|a],40064.0,29952.0,1490048.0,1560064.0,1520000.0,1530112.0, [h|e],150016.0,1200768.0,1281024.0,2631808.0,2481792.0,1431040.0
76383, [a|c],312064.0,1558016.0,1058048.0,2928128.0,2616064.0,1370112.0, [e|a],1360128.0,1210112.0,499968.0,3070208.0,1710080.0,1860096.0, [h|e],1040768.0,1123072.0,2877056.0,5040896.0,4000128.0,3917824.0
76383, [a|c],439936.0,1320064.0,1680128.0,3440128.0,3000192.0,2120064.0, [e|a],329984.0,310016.0,2570112.0,3210112.0,2880128.0,2900096.0, [h|e],718080.0,329984.0,339968.0,1388032.0,669952.0,1058048.0
76383, [a|c],780928.0,1249792.0,5781632.0,7812352.0,7031424.0,6562560.0, [e|a],440064.0,350080.0,979968.0,1770112.0,1330048.0,1420032.0, [h|e],1190400.0,1052032.0,61568.0,2304000.0,1113600.0,1251968.0
76383, [a|c],1118080.0,2291968.0,1248000.0,4658048.0,3539968.0,2366080.0, [e|a],659968.0,210048.0,640000.0,1510016.0,850048.0,1299968.0, [h|e],760064.0,156032.0,459904.0,1376000.0,615936.0,1219968.0
